mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_l2_leaf_reg,param_depth,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.8506983518600464,0.0011981725692749023,0.013052940368652344,0.003985166549682617,0.01,3,4,"{'learning_rate': 0.01, 'l2_leaf_reg': 3, 'depth': 4}",0.8427293715926508,0.8402706880019022,0.8415000297972766,0.0012293417953743169,1
2.684241533279419,0.005161285400390625,0.006484389305114746,0.00016677379608154297,0.001,10,9,"{'learning_rate': 0.001, 'l2_leaf_reg': 10, 'depth': 9}",0.8324971383117008,0.83305279359426,0.8327749659529804,0.00027782764127959325,7
3.2998292446136475,0.013258934020996094,0.011890530586242676,0.00041854381561279297,0.15,6,9,"{'learning_rate': 0.15, 'l2_leaf_reg': 6, 'depth': 9}",0.8106344864158728,0.7984940669883667,0.8045642767021197,0.00607020971375305,18
1.5834356546401978,0.004791140556335449,0.01276087760925293,0.005027055740356445,0.01,7,7,"{'learning_rate': 0.01, 'l2_leaf_reg': 7, 'depth': 7}",0.8421654411526945,0.8370851350338456,0.8396252880932701,0.002540153059424455,3
3.121193051338196,0.17423808574676514,0.017395853996276855,0.005861401557922363,0.1,7,9,"{'learning_rate': 0.1, 'l2_leaf_reg': 7, 'depth': 9}",0.815219008077398,0.8104049981519915,0.8128120031146948,0.002407004962703241,12
1.157106876373291,0.11262822151184082,0.01247251033782959,0.0006757974624633789,0.15,9,5,"{'learning_rate': 0.15, 'l2_leaf_reg': 9, 'depth': 5}",0.8246473817977223,0.8174077223490126,0.8210275520733674,0.0036198297243548727,10
1.7057385444641113,0.05729246139526367,0.01287388801574707,0.004835605621337891,0.15,5,7,"{'learning_rate': 0.15, 'l2_leaf_reg': 5, 'depth': 7}",0.8104482341604744,0.8062253329645933,0.8083367835625339,0.002111450597940545,14
3.520560622215271,0.12234222888946533,0.011247634887695312,0.0006823539733886719,0.1,3,9,"{'learning_rate': 0.1, 'l2_leaf_reg': 3, 'depth': 9}",0.8118700243809376,0.8021965453873452,0.8070332848841414,0.004836739496796194,15
1.2124836444854736,0.027998924255371094,0.008717060089111328,0.0006544589996337891,0.2,3,4,"{'learning_rate': 0.2, 'l2_leaf_reg': 3, 'depth': 4}",0.8220977306973466,0.8142224924593503,0.8181601115783484,0.003937619118998148,11
6.07497775554657,0.03686344623565674,0.018021225929260254,0.005998969078063965,0.15,4,10,"{'learning_rate': 0.15, 'l2_leaf_reg': 4, 'depth': 10}",0.8029774492494938,0.8020014060371721,0.802489427643333,0.0004880216061608489,19
0.8171958923339844,0.037079572677612305,0.02167987823486328,0.004880666732788086,0.1,2,3,"{'learning_rate': 0.1, 'l2_leaf_reg': 2, 'depth': 3}",0.8380704783708101,0.8342646606513777,0.8361675695110939,0.001902908859716168,5
3.5243523120880127,0.011937856674194336,0.016756534576416016,0.0032193660736083984,0.2,7,7,"{'learning_rate': 0.2, 'l2_leaf_reg': 7, 'depth': 7}",0.8087302511171902,0.802455977337989,0.8055931142275896,0.0031371368896006002,16
7.432230114936829,0.2292712926864624,0.011553525924682617,0.00036907196044921875,0.01,3,10,"{'learning_rate': 0.01, 'l2_leaf_reg': 3, 'depth': 10}",0.8314436489921035,0.8278179543709921,0.8296308016815479,0.0018128473105556986,8
1.560882568359375,0.06994223594665527,0.009596705436706543,0.0005265474319458008,0.15,10,7,"{'learning_rate': 0.15, 'l2_leaf_reg': 10, 'depth': 7}",0.8137063552115061,0.8071144447057791,0.8104103999586426,0.003295955252863525,13
0.7576485872268677,0.040529608726501465,0.01222848892211914,0.0008080005645751953,0.001,6,3,"{'learning_rate': 0.001, 'l2_leaf_reg': 6, 'depth': 3}",0.8263301191885093,0.8291383757686035,0.8277342474785564,0.001404128290047102,9
0.7953282594680786,0.01066434383392334,0.01079261302947998,0.001337885856628418,0.1,6,4,"{'learning_rate': 0.1, 'l2_leaf_reg': 6, 'depth': 4}",0.8354988391569497,0.8326428071118601,0.834070823134405,0.0014280160225447758,6
0.8365626335144043,0.058171749114990234,0.01081383228302002,0.0012601613998413086,0.01,10,3,"{'learning_rate': 0.01, 'l2_leaf_reg': 10, 'depth': 3}",0.8402068822795206,0.8395398846739364,0.8398733834767285,0.0003334988027920982,2
5.411705851554871,0.10712230205535889,0.01754462718963623,0.005919337272644043,0.1,1,10,"{'learning_rate': 0.1, 'l2_leaf_reg': 1, 'depth': 10}",0.7981213097155128,0.802700547682494,0.8004109286990033,0.0022896189834906155,20
0.7129789590835571,0.014746308326721191,0.01336359977722168,0.0017323493957519531,0.1,6,3,"{'learning_rate': 0.1, 'l2_leaf_reg': 6, 'depth': 3}",0.8380193883424195,0.8351553877845351,0.8365873880634773,0.0014320002789421915,4
1.3242239952087402,0.22463059425354004,0.008733987808227539,0.003958463668823242,0.2,4,6,"{'learning_rate': 0.2, 'l2_leaf_reg': 4, 'depth': 6}",0.8105530010541361,0.7994300250967297,0.8049915130754328,0.005561487978703206,17
